Transaction_ID,Customer_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Method,Device_Type,Location,Is_International,Previous_Transactions,Average_Spend,Account_Age_Days,Suspicious_Keyword,Fraudulent,spend_ratio,spend_deviation_abs,is_spend_spike,is_new_account,account_age_years,is_low_history,txn_hour,txn_day_of_week,is_night_txn,is_weekend,risk_flag_count
T100000,CUST3252,2023-10-04 07:45:00,37.54,Travel,PayPal,POS,Bengaluru,0,94,417.4,1492,0,0,0.08993770963104936,379.85999999999996,0,0,4.087671232876712,0,7,2,0,0,0
T100001,CUST1630,2023-09-26 08:29:00,240.81,Utilities,PayPal,Mobile,Bengaluru,0,76,335.47,66,0,0,0.7178287179181446,94.66000000000003,0,0,0.18082191780821918,0,8,1,0,0,0
T100002,CUST7852,2023-07-18 15:54:00,105.34,Entertainment,Debit Card,Mobile,Bengaluru,0,60,432.03,216,0,0,0.2438256602550749,326.68999999999994,0,0,0.5917808219178082,0,15,1,0,0,0
T100003,CUST4892,2023-10-16 17:10:00,73.04,Utilities,NetBanking,Desktop,Kolkata,0,68,488.3,449,0,0,0.14958017612123695,415.26,0,0,1.2301369863013698,0,17,0,0,0,0
T100004,CUST8831,2023-09-09 00:46:00,13.57,Utilities,Credit Card,Desktop,Bengaluru,0,57,437.03,754,0,0,0.031050499965677415,423.46,0,0,2.0657534246575344,0,0,5,1,1,1
T100005,CUST2962,2024-01-14 03:15:00,13.57,Travel,Credit Card,Mobile,Mumbai,0,64,207.8,1513,0,0,0.06530317613089509,194.23000000000002,0,0,4.145205479452055,0,3,6,1,1,1
T100006,CUST2118,2023-02-09 08:56:00,4.79,Health,NetBanking,Desktop,Bengaluru,0,182,409.11,1163,0,0,0.011708342499572241,404.32,0,0,3.186301369863014,0,8,3,0,0,0
T100007,CUST4852,2023-03-26 13:12:00,160.9,Fashion,Debit Card,Mobile,Delhi,0,80,358.71,216,0,0,0.44855175489950105,197.80999999999997,0,0,0.5917808219178082,0,13,6,0,1,0
T100008,CUST7160,2023-03-06 20:09:00,73.53,Travel,Debit Card,POS,Chennai,0,87,40.19,500,0,0,1.8295595919382932,33.34,0,0,1.36986301369863,0,20,0,0,0,0
T100009,CUST2337,2023-06-27 12:06:00,98.5,Grocery,Debit Card,Desktop,Mumbai,0,182,465.58,1131,0,0,0.21156407062159027,367.08,0,0,3.0986301369863014,0,12,1,0,0,0
T100010,CUST9322,2023-02-09 22:45:00,1.66,Travel,Credit Card,Desktop,Pune,0,187,238.32,1992,0,0,0.0069654246391406514,236.66,0,0,5.457534246575342,0,22,3,0,0,0
T100011,CUST8675,2023-07-25 18:45:00,280.28,Grocery,PayPal,Desktop,Bengaluru,0,167,75.88,1427,0,0,3.6937269372693726,204.39999999999998,1,0,3.9095890410958902,0,18,1,0,0,1
T100012,CUST3603,2023-01-02 04:32:00,142.91,Utilities,Debit Card,POS,Pune,0,120,218.44,839,0,0,0.6542299945065007,75.53,0,0,2.2986301369863016,0,4,0,1,0,1
